,,0
HD,UNH,0.963265077854407
MMM,TRV,0.9467724244757424
MMM,UNH,0.9370108697759708
INTC,MSFT,0.9345735038163873
HD,NKE,0.9257443662886944
DIS,MMM,0.9255709077570453
TRV,UNH,0.9235451752225121
DD,DIS,0.9231301903282149
DIS,UNH,0.9155807860237134
JNJ,MSFT,0.9144719560675139
DD,MMM,0.9135811610368225
HD,TRV,0.9070384847984055
DD,UNH,0.9027529744061528
CSCO,TRV,0.9004749193929017
HD,MMM,0.8998304058404247
MMM,V,0.8985130175810784
CSCO,UNH,0.8957414868240583
NKE,UNH,0.8932248482734682
NKE,TRV,0.8931624987119674
CSCO,MMM,0.8900538546324306
UNH,V,0.8847595383288546
GS,NKE,0.8840759319753503
HD,V,0.8818361613708263
DIS,HD,0.8782716811379324
DD,HD,0.8719281210211485
CSCO,DIS,0.8580251372305627
MMM,NKE,0.855170850855781
INTC,JNJ,0.8542511849259206
GS,HD,0.8538447175349216
DIS,TRV,0.853375893840129
NKE,V,0.8513449496637646
DD,TRV,0.8476171086353915
NKE,PG,0.8433195033207637
CSCO,HD,0.8415886329116549
DIS,INTC,0.8393479469187562
DD,V,0.8370621649424912
INTC,MMM,0.8342115523228734
IBM,NKE,0.8269225621758888
CSCO,INTC,0.8248289848760408
JNJ,KO,0.8244562378254978
PG,WMT,0.8239472258610585
INTC,TRV,0.8232504561429562
CSCO,DD,0.8226248722466126
TRV,V,0.821847739238762
DIS,MRK,0.8184437295769185
MRK,MSFT,0.8184250685749268
GS,JPM,0.8156195850894018
DIS,V,0.8130146418626958
JNJ,MRK,0.8108833864418264
TRV,WMT,0.8093866624780542
PG,TRV,0.8061787040832485
INTC,KO,0.805107060119166
GS,INTC,0.8033033105210584
KO,MSFT,0.80242232524769
GS,MMM,0.7944085648127086
DIS,MSFT,0.7928921280106093
KO,TRV,0.7927194998368013
INTC,UNH,0.792012415748579
GS,TRV,0.7912265378825369
DD,NKE,0.7907009758781238
GS,UNH,0.7892776558329843
IBM,V,0.7876818932242562
CSCO,V,0.7861333237278444
INTC,MRK,0.7858776605807938
CAT,XOM,0.7857726436245844
V,WMT,0.7854295870707942
GS,V,0.7824794610381155
CVX,XOM,0.7824598946586415
NKE,WMT,0.782387406309872
DIS,NKE,0.7803742031349549
MMM,WMT,0.7761076738080105
MMM,MSFT,0.7756904622474436
CSCO,NKE,0.770585367736397
INTC,NKE,0.7697728503782708
HD,IBM,0.7696368353867599
HD,WMT,0.7669798085427627
CVX,IBM,0.7647094450953736
UNH,WMT,0.7640978741494988
GS,MSFT,0.7602741576521377
HD,INTC,0.7597060357039228
GS,PG,0.759631502440998
IBM,WMT,0.7576731320931167
DIS,GS,0.7537438992033806
JNJ,MMM,0.752907209816099
KO,PG,0.7506775469859247
MMM,PG,0.7494008285104183
MSFT,TRV,0.7487365645780384
IBM,TRV,0.7474841030572865
DIS,JNJ,0.7469341831402183
MSFT,PG,0.7461910294269619
DD,MRK,0.7431870702228256
